seed,system,AUPRC,FPR@95TPR,macro_F1,ECE
20260819,lexical_only,0.7539250616239879,0.46,0.7079843233689387,0.14491612705813192
20260819,dns_behavior_only,0.5025125628140703,0.99,0.3333333333333333,0.49873551057614757
20260819,fixed_average,0.7539817008557411,0.46,0.34434915063412697,0.20108779197352278
20260819,cross_attentive_gate,0.7539250616239879,0.46,0.7079843233689387,0.14491163924336434
20260820,lexical_only,0.7539250616239879,0.46,0.7079843233689387,0.14491612705813192
20260820,dns_behavior_only,0.5025125628140703,0.99,0.3333333333333333,0.49873551057614757
20260820,fixed_average,0.7539817008557411,0.46,0.34434915063412697,0.20108779197352278
20260820,cross_attentive_gate,0.7539250616239879,0.46,0.7079843233689387,0.14491538263857365
20260821,lexical_only,0.7539250616239879,0.46,0.7079843233689387,0.14491612705813192
20260821,dns_behavior_only,0.5025125628140703,0.99,0.3333333333333333,0.49873551057614757
20260821,fixed_average,0.7539817008557411,0.46,0.34434915063412697,0.20108779197352278
20260821,cross_attentive_gate,0.7539250616239879,0.46,0.7079843233689387,0.1449091149866581
