system,split,rows,positives,AUPRC,FPR@95TPR,macro_F1,ECE,seed
cross_attentive_gate,full_test,3372,1683,0.8785,0.4991,0.7892,0.0528,20260819
residual_correction_gate,full_test,3372,1683,0.8897,0.4843,0.8082,0.0496,20260819
standalone_conflict_classifier,full_test,3372,1683,0.8963,0.4985,0.8098,0.0286,20260819
cross_attentive_gate,model_high_conflict,96,28,0.6923,0.8382,0.6849,0.1018,20260819
residual_correction_gate,model_high_conflict,96,28,0.6825,0.8088,0.6755,0.1302,20260819
standalone_conflict_classifier,model_high_conflict,96,28,0.6493,0.9265,0.6742,0.1687,20260819
cross_attentive_gate,lex_benign_shape,2018,932,0.8907,0.4429,0.8069,0.0479,20260819
residual_correction_gate,lex_benign_shape,2018,932,0.8964,0.4291,0.82,0.0432,20260819
standalone_conflict_classifier,lex_benign_shape,2018,932,0.8922,0.4144,0.8224,0.0303,20260819
cross_attentive_gate,multi_ip_dns,952,285,0.7247,0.5352,0.7354,0.0815,20260819
residual_correction_gate,multi_ip_dns,952,285,0.7371,0.5307,0.7444,0.0645,20260819
standalone_conflict_classifier,multi_ip_dns,952,285,0.7279,0.6042,0.7573,0.0442,20260819
cross_attentive_gate,ttl_low,648,218,0.8928,0.386,0.8204,0.114,20260819
residual_correction_gate,ttl_low,648,218,0.9021,0.3884,0.8545,0.1126,20260819
standalone_conflict_classifier,ttl_low,648,218,0.8768,0.6674,0.8419,0.042,20260819
cross_attentive_gate,lex_benign_shape_multi_ip,606,171,0.7472,0.4713,0.7515,0.0834,20260819
residual_correction_gate,lex_benign_shape_multi_ip,606,171,0.7616,0.4,0.7669,0.0697,20260819
standalone_conflict_classifier,lex_benign_shape_multi_ip,606,171,0.7665,0.423,0.7894,0.056,20260819
cross_attentive_gate,full_test,3372,1683,0.8807,0.4885,0.7901,0.0535,20260820
residual_correction_gate,full_test,3372,1683,0.8873,0.4707,0.8027,0.0534,20260820
standalone_conflict_classifier,full_test,3372,1683,0.8983,0.4742,0.8153,0.0212,20260820
cross_attentive_gate,model_high_conflict,96,28,0.6492,0.8382,0.6855,0.092,20260820
residual_correction_gate,model_high_conflict,96,28,0.6611,0.8235,0.6944,0.1315,20260820
standalone_conflict_classifier,model_high_conflict,96,28,0.6965,0.8382,0.7346,0.179,20260820
cross_attentive_gate,lex_benign_shape,2018,932,0.8905,0.4466,0.8083,0.0411,20260820
residual_correction_gate,lex_benign_shape,2018,932,0.8961,0.4208,0.8172,0.05,20260820
standalone_conflict_classifier,lex_benign_shape,2018,932,0.8904,0.4134,0.8206,0.0299,20260820
cross_attentive_gate,multi_ip_dns,952,285,0.7226,0.5787,0.7291,0.0662,20260820
residual_correction_gate,multi_ip_dns,952,285,0.7344,0.5202,0.7348,0.065,20260820
standalone_conflict_classifier,multi_ip_dns,952,285,0.7266,0.4843,0.7287,0.044,20260820
cross_attentive_gate,ttl_low,648,218,0.8865,0.4349,0.8174,0.1182,20260820
residual_correction_gate,ttl_low,648,218,0.8847,0.3488,0.8458,0.0963,20260820
standalone_conflict_classifier,ttl_low,648,218,0.9009,0.3209,0.8683,0.0453,20260820
cross_attentive_gate,lex_benign_shape_multi_ip,606,171,0.74,0.4644,0.7432,0.0666,20260820
residual_correction_gate,lex_benign_shape_multi_ip,606,171,0.7664,0.3632,0.7536,0.0819,20260820
standalone_conflict_classifier,lex_benign_shape_multi_ip,606,171,0.7569,0.423,0.745,0.069,20260820
cross_attentive_gate,full_test,3372,1683,0.8798,0.4997,0.7924,0.0523,20260821
residual_correction_gate,full_test,3372,1683,0.8883,0.4914,0.8059,0.055,20260821
standalone_conflict_classifier,full_test,3372,1683,0.8992,0.489,0.8098,0.0196,20260821
cross_attentive_gate,model_high_conflict,96,28,0.687,0.8382,0.7141,0.0692,20260821
residual_correction_gate,model_high_conflict,96,28,0.7111,0.8235,0.7243,0.0746,20260821
standalone_conflict_classifier,model_high_conflict,96,28,0.6368,0.8235,0.6389,0.208,20260821
cross_attentive_gate,lex_benign_shape,2018,932,0.8907,0.4659,0.8147,0.0421,20260821
residual_correction_gate,lex_benign_shape,2018,932,0.8946,0.4337,0.8165,0.0469,20260821
standalone_conflict_classifier,lex_benign_shape,2018,932,0.8943,0.4236,0.8217,0.0369,20260821
cross_attentive_gate,multi_ip_dns,952,285,0.7243,0.5547,0.7206,0.0712,20260821
residual_correction_gate,multi_ip_dns,952,285,0.7312,0.5562,0.7376,0.062,20260821
standalone_conflict_classifier,multi_ip_dns,952,285,0.7221,0.5262,0.727,0.0463,20260821
cross_attentive_gate,ttl_low,648,218,0.8865,0.4535,0.8159,0.1171,20260821
residual_correction_gate,ttl_low,648,218,0.8893,0.3884,0.8412,0.0973,20260821
standalone_conflict_classifier,ttl_low,648,218,0.8907,0.4186,0.8419,0.0378,20260821
cross_attentive_gate,lex_benign_shape_multi_ip,606,171,0.7427,0.4782,0.7373,0.0712,20260821
residual_correction_gate,lex_benign_shape_multi_ip,606,171,0.7532,0.4851,0.7568,0.0658,20260821
standalone_conflict_classifier,lex_benign_shape_multi_ip,606,171,0.7999,0.3494,0.7737,0.0797,20260821
