subset,system,rows,positives,AUPRC_mean,AUPRC_std,FPR95_mean,macro_F1_mean,ECE_mean,source,gate_AUPRC_mean,AUPRC_vs_gate
lex_benign_shape,cross_attentive_gate,2018,932,0.8906,0.0001,0.4518,0.81,0.0437,R025_gate_spine,0.8906,0.0
lex_benign_shape,residual_correction_gate,2018,932,0.8957,0.001,0.4279,0.8179,0.0467,R025_gate_spine,0.8906,0.0051
lex_benign_shape,standalone_conflict_classifier,2018,932,0.8923,0.002,0.4171,0.8216,0.0324,R025_gate_spine,0.8906,0.0017
lex_benign_shape_multi_ip,cross_attentive_gate,606,171,0.7433,0.0036,0.4713,0.744,0.0737,R025_gate_spine,0.7433,0.0
lex_benign_shape_multi_ip,residual_correction_gate,606,171,0.7604,0.0067,0.4161,0.7591,0.0725,R025_gate_spine,0.7433,0.0171
lex_benign_shape_multi_ip,standalone_conflict_classifier,606,171,0.7745,0.0226,0.3985,0.7694,0.0682,R025_gate_spine,0.7433,0.0312
multi_ip_dns,cross_attentive_gate,952,285,0.7238,0.0011,0.5562,0.7283,0.073,R025_gate_spine,0.7238,0.0
multi_ip_dns,residual_correction_gate,952,285,0.7342,0.003,0.5357,0.7389,0.0638,R025_gate_spine,0.7238,0.0104
multi_ip_dns,standalone_conflict_classifier,952,285,0.7255,0.0031,0.5382,0.7377,0.0448,R025_gate_spine,0.7238,0.0017
ttl_low,cross_attentive_gate,648,218,0.8886,0.0036,0.4248,0.8179,0.1164,R025_gate_spine,0.8886,0.0
ttl_low,residual_correction_gate,648,218,0.892,0.009,0.3752,0.8472,0.102,R025_gate_spine,0.8886,0.0034
ttl_low,standalone_conflict_classifier,648,218,0.8895,0.0121,0.469,0.8507,0.0417,R025_gate_spine,0.8886,0.0009
full_test,char_cnn,3372,1683,0.8493,0.0097,0.6712,0.726,0.081,R026_domurls_rerun,,
full_test,domurls_bert_frozen_embedding,3372,1683,0.8434,0.0,0.6631,0.7534,0.0652,R026_domurls_rerun,,
lex_benign_shape,char_cnn,2018,932,0.8129,0.0073,0.6627,0.7184,0.0816,R026_domurls_rerun,0.8906,-0.0777
lex_benign_shape,domurls_bert_frozen_embedding,2018,932,0.7859,0.0,0.6759,0.7328,0.0645,R026_domurls_rerun,0.8906,-0.1047
lex_benign_shape_multi_ip,char_cnn,606,171,0.5539,0.0093,0.7701,0.6489,0.2001,R026_domurls_rerun,0.7433,-0.1894
lex_benign_shape_multi_ip,domurls_bert_frozen_embedding,606,171,0.5841,0.0,0.6759,0.6753,0.1706,R026_domurls_rerun,0.7433,-0.1592
multi_ip_dns,char_cnn,952,285,0.6098,0.0206,0.7216,0.6458,0.2175,R026_domurls_rerun,0.7238,-0.114
multi_ip_dns,domurls_bert_frozen_embedding,952,285,0.6441,0.0,0.6537,0.6943,0.1624,R026_domurls_rerun,0.7238,-0.0797
ttl_low,char_cnn,648,218,0.8347,0.0217,0.5171,0.7231,0.2163,R026_domurls_rerun,0.8886,-0.0539
ttl_low,domurls_bert_frozen_embedding,648,218,0.7836,0.0,0.5767,0.7702,0.1468,R026_domurls_rerun,0.8886,-0.105
