seed,condition,system,AUPRC,FPR@95TPR,macro_F1,ECE,mean_g_lex,choose_lex_pct
20260819,original_degenerate,lexical_only,0.7539250616239879,0.46,0.7079843233689388,0.14491612705813192,,
20260819,original_degenerate,dns_behavior_only,0.5025125628140703,0.99,0.3333333333333333,0.49873551057614757,,
20260819,original_degenerate,fixed_average,0.7539817008557411,0.46,0.34434915063412697,0.20108779197352278,,
20260819,original_degenerate,cross_attentive_gate,0.7539250616239879,0.46,0.7079843233689388,0.14491163924336434,,
20260819,original_degenerate,gate_diagnostic,,,,,0.9999963641166687,100.0
20260819,injected_ttl_informative,lexical_only,0.7539250616239879,0.46,0.7079843233689388,0.14491612705813192,,
20260819,injected_ttl_informative,dns_behavior_only,0.5775110327710001,0.99,0.3333333333333333,0.49709184722005734,,
20260819,injected_ttl_informative,fixed_average,0.7543601901825062,0.46,0.34434915063412697,0.2002659602954776,,
20260819,injected_ttl_informative,cross_attentive_gate,0.7539250616239879,0.46,0.7079843233689388,0.1449141188710928,,
20260819,injected_ttl_informative,gate_diagnostic,,,,,0.9999977350234985,100.0
20260819,injected_ip_diversity_informative,lexical_only,0.7539250616239879,0.46,0.7079843233689388,0.14491612705813192,,
20260819,injected_ip_diversity_informative,dns_behavior_only,0.8928571428571429,0.12,0.3333333333333333,0.2266848464747963,,
20260819,injected_ip_diversity_informative,fixed_average,0.7960563262884857,0.36,0.7789828069183522,0.195131643334095,,
20260819,injected_ip_diversity_informative,cross_attentive_gate,0.8259785741916401,0.46,0.7990151743543362,0.16067256800830365,,
20260819,injected_ip_diversity_informative,gate_diagnostic,,,,,0.8234201073646545,89.5
20260820,original_degenerate,lexical_only,0.7539250616239879,0.46,0.7079843233689388,0.14491612705813192,,
20260820,original_degenerate,dns_behavior_only,0.5025125628140703,0.99,0.3333333333333333,0.49873551057614757,,
20260820,original_degenerate,fixed_average,0.7539817008557411,0.46,0.34434915063412697,0.20108779197352278,,
20260820,original_degenerate,cross_attentive_gate,0.7539250616239879,0.46,0.7079843233689388,0.14491538263857365,,
20260820,original_degenerate,gate_diagnostic,,,,,0.9999977350234985,100.0
20260820,injected_ttl_informative,lexical_only,0.7539250616239879,0.46,0.7079843233689388,0.14491612705813192,,
20260820,injected_ttl_informative,dns_behavior_only,0.5775110327710001,0.99,0.3333333333333333,0.49709184722005734,,
20260820,injected_ttl_informative,fixed_average,0.7543601901825062,0.46,0.34434915063412697,0.2002659602954776,,
20260820,injected_ttl_informative,cross_attentive_gate,0.7539250616239879,0.46,0.7079843233689388,0.14491553865373136,,
20260820,injected_ttl_informative,gate_diagnostic,,,,,0.9999978542327881,100.0
20260820,injected_ip_diversity_informative,lexical_only,0.7539250616239879,0.46,0.7079843233689388,0.14491612705813192,,
20260820,injected_ip_diversity_informative,dns_behavior_only,0.8928571428571429,0.12,0.3333333333333333,0.2266848464747963,,
20260820,injected_ip_diversity_informative,fixed_average,0.7960563262884857,0.36,0.7789828069183522,0.195131643334095,,
20260820,injected_ip_diversity_informative,cross_attentive_gate,0.754925061623988,0.46,0.7079843233689388,0.14480136506259442,,
20260820,injected_ip_diversity_informative,gate_diagnostic,,,,,0.9958286881446838,100.0
20260821,original_degenerate,lexical_only,0.7539250616239879,0.46,0.7079843233689388,0.14491612705813192,,
20260821,original_degenerate,dns_behavior_only,0.5025125628140703,0.99,0.3333333333333333,0.49873551057614757,,
20260821,original_degenerate,fixed_average,0.7539817008557411,0.46,0.34434915063412697,0.20108779197352278,,
20260821,original_degenerate,cross_attentive_gate,0.7539250616239879,0.46,0.7079843233689388,0.1449091149866581,,
20260821,original_degenerate,gate_diagnostic,,,,,0.9999939203262329,100.0
20260821,injected_ttl_informative,lexical_only,0.7539250616239879,0.46,0.7079843233689388,0.14491612705813192,,
20260821,injected_ttl_informative,dns_behavior_only,0.5775110327710001,0.99,0.3333333333333333,0.49709184722005734,,
20260821,injected_ttl_informative,fixed_average,0.7543601901825062,0.46,0.34434915063412697,0.2002659602954776,,
20260821,injected_ttl_informative,cross_attentive_gate,0.7539250616239879,0.46,0.7079843233689388,0.14491187758743762,,
20260821,injected_ttl_informative,gate_diagnostic,,,,,0.9999954700469971,100.0
20260821,injected_ip_diversity_informative,lexical_only,0.7539250616239879,0.46,0.7079843233689388,0.14491612705813192,,
20260821,injected_ip_diversity_informative,dns_behavior_only,0.8928571428571429,0.12,0.3333333333333333,0.2266848464747963,,
20260821,injected_ip_diversity_informative,fixed_average,0.7960563262884857,0.36,0.7789828069183522,0.195131643334095,,
20260821,injected_ip_diversity_informative,cross_attentive_gate,0.7890487538573405,0.46,0.7190939503051661,0.12792083479464053,,
20260821,injected_ip_diversity_informative,gate_diagnostic,,,,,0.8689613938331604,86.5
