seed,use_case,tier,n_alarms,precision,coverage_of_all_positives
20260819,lexical_alarms,all_alarms,306,0.954248366013072,0.17349970291146763
20260819,lexical_alarms,high_trust,305,0.9573770491803278,0.17349970291146763
20260819,lexical_alarms,mid_trust,1,0.0,0.0
20260819,lexical_alarms,low_trust,0,,0.0
20260819,behavior_alarms,all_alarms,6,1.0,0.0035650623885918
20260819,behavior_alarms,high_trust,6,1.0,0.0035650623885918
20260819,behavior_alarms,mid_trust,0,,0.0
20260819,behavior_alarms,low_trust,0,,0.0
20260820,lexical_alarms,all_alarms,306,0.954248366013072,0.17349970291146763
20260820,lexical_alarms,high_trust,306,0.954248366013072,0.17349970291146763
20260820,lexical_alarms,mid_trust,0,,0.0
20260820,lexical_alarms,low_trust,0,,0.0
20260820,behavior_alarms,all_alarms,6,1.0,0.0035650623885918
20260820,behavior_alarms,high_trust,6,1.0,0.0035650623885918
20260820,behavior_alarms,mid_trust,0,,0.0
20260820,behavior_alarms,low_trust,0,,0.0
20260821,lexical_alarms,all_alarms,306,0.954248366013072,0.17349970291146763
20260821,lexical_alarms,high_trust,306,0.954248366013072,0.17349970291146763
20260821,lexical_alarms,mid_trust,0,,0.0
20260821,lexical_alarms,low_trust,0,,0.0
20260821,behavior_alarms,all_alarms,6,1.0,0.0035650623885918
20260821,behavior_alarms,high_trust,6,1.0,0.0035650623885918
20260821,behavior_alarms,mid_trust,0,,0.0
20260821,behavior_alarms,low_trust,0,,0.0
